순번,생산라인코드,생산일자,작업장코드,충전실온도,실링온도,쿠킹온도,쿠킹스팀압력,실링압력,생산시간,오류발생작업장명,Error_Message,발생시간,종료시간,오류조치시간_보정,비가동코드,오류발생여부,Error_label,Error_name,Error_class,name
18,D004,2011-04-19,W005,70.56808042,82.96808042,117.7562804,23.192,205.324,,충전실,위치조정,6:20,6:29,9.0,W0056B4,1,79,위치조정,2,2:공정 중 발생
12,D004,2011-04-21,W005,71.14737111,93.44737111,127.8998211,22.968,204.013,,충전실,교육,22:00,22:23,23.0,W005211,1,16,교육,3,3:기타
16,D006,2011-04-25,W005,70.399724,102.299724,136.993924,23.129,203.223,,충전실,미포장,16:30,16:34,4.0,W0054A1,1,37,미포장,2,2:공정 중 발생
19,D004,2011-04-25,W005,71.82976437,104.2297644,138.9784144,23.166,199.181,,충전실,센서,19:04,19:12,8.0,W005811,1,52,센서,2,2:공정 중 발생
1,P004,2011-04-28,W007,71.58991366,112.0899137,146.7744637,23.123,199.232,,포장실,식사,12:30,13:00,30.0,W007212,1,58,식사,3,3:기타
7,C007,2011-05-04,W003,70.29739722,104.7973972,139.3282472,23.021,201.56,,쿠킹실,기타,14:57,15:41,44.0,W003684,1,23,기타,3,3:기타
10,D008,2011-05-04,W005,71.1800499,124.8800499,159.3426499,22.975,203.371,,충전실,조회,17:38,18:09,31.0,W005212,1,92,조회,3,3:기타
14,D005,2011-05-04,W005,71.64665059,132.5466506,166.6184006,22.715,200.393,,충전실,센서,21:15,21:19,4.0,W005811,1,52,센서,2,2:공정 중 발생
5,C001,2011-05-06,W003,69.31952972,99.51952972,134.3121297,23.195,199.44,,쿠킹실,규격보정,11:01,11:10,9.0,W003441,1,20,규격보정,2,2:공정 중 발생
10,D013,2011-05-06,W005,70.6134063,104.9134063,139.4065063,22.995,198.479,,충전실,쿠커배합 미종료,12:21,12:25,4.0,W005A22,1,101,쿠커배합 미종료,2,2:공정 중 발생
1,P004,2011-05-07,W007,70.72210284,109.3221028,144.1075028,23.19,202.313,,포장실,식사,12:34,13:06,32.0,W007212,1,58,식사,3,3:기타
4,C001,2011-05-11,W003,72.4301145,105.7301145,140.4276145,23.132,203.642,,쿠킹실,전처리,10:08,10:20,12.0,W003312,1,86,전처리,1,1:공정 전 발생
5,C001,2011-05-11,W003,70.78975477,111.6897548,146.4584548,23.179,203.968,,쿠킹실,전처리,10:08,10:47,39.0,W003312,1,86,전처리,1,1:공정 전 발생
6,C002,2011-05-11,W003,70.64323987,87.74323987,122.2035399,22.974,200.868,,쿠킹실,전처리,10:24,10:32,8.0,W003312,1,86,전처리,1,1:공정 전 발생
25,D004,2011-05-11,W005,72.55969529,93.85969529,128.5231953,23.109,203.961,,충전실,센서,20:44,20:52,8.0,W005811,1,52,센서,2,2:공정 중 발생
6,C006,2011-05-12,W003,71.97845998,108.87846,143.07726,22.799,200.262,,쿠킹실,전처리,11:10,11:43,33.0,W003312,1,86,전처리,1,1:공정 전 발생
9,D004,2011-05-13,W005,70.95307395,104.053074,138.599924,23.031,203.589,,충전실,대기,2:04,2:24,20.0,W005711,1,29,대기,1,1:공정 전 발생
2,D004,2011-05-16,W005,71.48854928,93.78854928,128.4103493,23.081,200.601,,충전실,기타,9:16,10:40,84.0,W005A11,1,23,기타,3,3:기타
8,C002,2011-05-16,W003,70.54276327,102.3427633,136.9807133,23.092,201.67,,쿠킹실,충전,15:15,15:41,26.0,W003452,1,96,충전,2,2:공정 중 발생
8,D004,2011-05-20,W005,71.67428171,89.37428171,123.7116317,22.892,197.535,,충전실,센서,17:08,17:18,10.0,W005811,1,52,센서,2,2:공정 중 발생
2,C003,2011-05-23,W003,71.21780489,95.11780489,129.6819049,23.043,200.301,,쿠킹실,전처리,8:48,9:51,63.0,W003312,1,86,전처리,1,1:공정 전 발생
